"Name","BigCheers","CheerTime","NoiseAvg"
"Delilah Guardipee",0,0,222.983686550885
"Nathanial al-Harron",2,0.280358666081359,253.861574048159
"Jay Mateos-Gonzalez",0,0,224.109009259168
"Tarah Padilla",0,0,223.975660487564
"Kyle el-Amara",0,0,224.214604336912
"Sean al-Fahmy",4,0.220027998554751,245.383621087163
"Chase al-Khalaf",4,0.177193652159059,243.198662732941
"Hassan Cotonuts",3,0.298977878396366,255.531333608718
"Santee Kramer",5,0.166064080492475,241.290630851786
"Sarah al-Allam",4,0.170553801855034,241.401879130109
"Raaji Blackmon",5,0.0458478721206196,229.814610519473
"Andrew Munoz Leyva",0,0,223.296639176181
"Abdul Khaliq el-Farid",0,0,224.185080410378
"Isley Willis",2,0.222535868012681,248.049789066454
"Patricia Inthavong",0,0,225.460355614184
"Brandon Ryen",0,0,224.688030952486
"Christian Ali",5,0.196175054375484,244.493246590335
"Mus'ab Raley",3,0.1895446995233,243.942804702529
"Sean Helfer",0,0,225.243753341206
"Brittini Yazzie",0,0,225.583212001131
"Charles Goldston",0,0,223.932587793361
"Jessica Martin",0,0,224.199074730593
"Andrew Almada",0,0,224.970260302068
"Megan el-Yamin",3,0.198875409853004,244.131431840611
"Khiry Tipton",0,0,223.338338011803
"Tyondre Shaw",2,0.120271254467041,237.884691518517
"Jareer al-Rasheed",6,0.448649395400626,270.448027107176
"Alexandra Norris",0,0,226.465581078026
"Brandy Robertson",4,0.277586459489388,253.191205554617
"Tynan Portillos",3,0.418623892344652,266.833877964495
"Aaron Won",6,0.262334828790687,251.765083812652
"Shayla Chase",4,0.127855883682975,238.624311237663
"Cante Fink",0,0,224.306660684356
"Lisa Romero",0,0,226.522613142626
"Dominique Rodriguez",5,0.298233554834096,253.808306501058
"Maysa Sharrar",3,0.180067631179209,243.205880080287
"Zhjade Karman",0,0,226.170217466418
"William Murison",5,0.168627924150403,242.579009415747
"James Shannon",2,0.0925264522829091,233.937508268663
"Meghan Ahmed",0,0,225.031679740924
"Rihaab al-Dada",0,0,223.450434905853
"Orawan Bickel",9,0.230970614299164,247.470971289166
"Alexsondro White",4,0.109445966682853,234.955089403251
"Phaylinh Clark",0,0,226.802074558194
"Hibbaan al-Awan",0,0,226.594179595468
"Savannah al-Baccus",3,0.409949781536844,265.767636396004
"Frank Garcia",3,0.210364857650877,246.432443866045
"Hana Wilson",0,0,223.32700129987
"T'Aunsanae Riley",2,0.0976892439648509,234.081630150018
"Arif Ortega",9,0.205892091500575,245.568192256792
"Zuhair Landry",2,0.349289380421304,259.488494576345
"Nickolas Ho",4,0.173188020471938,244.787169110465
"Barry Marcos-Domingo",0,0,226.329401042669
"Lance Greene",0,0,224.196825712986
"Nicholas Lester",3,0.078000232208378,232.942312797723
"Dakota Her",8,0.24039675099712,249.795565879912
"Katrina Hallenbeck",0,0,225.37647067443
"Abdinasir Plumb",6,0.0731185770903659,231.424624289614
"Amy al-Niazi",6,0.191086670083291,243.513606840259
"Yameia Viner",0,0,225.225878069776
"Jesse Foreman",10,0.136265712046292,237.87880982621
"Azeema Hansen",4,0.292047241705447,253.662915188866
"Amari Go",0,0,224.991385392648
"Tahjneke Garcia Trevizo",0,0,224.379585904393
"Winthana Moscoso",0,0,223.441156070913
"Velhia Williams",6,0.389341243609192,264.018762219846
"Rachelle Borgen",7,0.136301528975146,239.066415512419
"Sarah Rusli",4,0.196589935747871,243.886405589678
"Angelica Anaya",0,0,225.259490361491
"Jasmine Elizalde III",4,0.180501464418122,243.286360998874
"Fernanda Coyote",0,0,225.236694143743
"Connor Rohde",2,0.238758426430615,248.339817311897
"Raaid Lor",5,0.238563101568964,249.963734785274
"Liam Moreno",0,0,225.89669005567
"Amber al-Waheed",0,0,224.940705399417
"Kristy Herrera",0,0,224.46152954184
"Jihaad Zimmerle",0,0,224.031521337374
"Savanna Mangino",0,0,226.272214455142
"Mumtaaza Garcia-Perez",0,0,225.520664608956
"Jaylyn Clark",0,0,224.376089045187
"Karah Coombes",6,0.140307239512822,238.374429602912
"Chhun Manglona",4,0.251895926287639,250.180289040822
"Haley Morrow",4,0.167333730321508,241.382459733295
"Kevin Jackson",0,0,225.058249992568
"Tasneem Andrus",0,0,226.921014267163
"Andrew Mouanoutoua",4,0.268693874693911,251.574960380808
"Elizabeth Crowder",0,0,226.374671875637
"Eric Little",0,0,224.906129130657
"Majdi Vea",0,0,224.837624940994
"Mahmood Longwolf",0,0,223.546288918442
"Tahani Hennessy",0,0,224.376569147456
"Mikal Zhen",0,0,226.133753541873
"Adeeba Madril",0,0,223.579678578406
"Ghaazi Rausch",3,0.0481611063916552,230.637991921029
"Maria el-Kaiser",8,0.229587386497619,247.243363741828
"Shea el-Fahmy",3,0.0161670942904723,226.702074018625
"Aqeel Lobato",0,0,224.664523514069
"Isaac Garcia",6,0.187845837490405,244.250636050449
"Mubarak Turner",0,0,224.963673417688
"Maya Williams",0,0,225.047360092111
